age;gender;loan_balance_0m
48;F;0
20;Ì;0
30;Ì;468553.52
58;F;0
28;Ì;0
18;F;0
45;Ì;0
53;Ì;9653.57
29;Ì;0
24;F;0
23;Ì;0
30;Ì;23349.18
35;Ì;0
29;Ì;0
20;Ì;0
61;Ì;0
33;Ì;0
50;Ì;0
39;F;0
39;Ì;0
34;Ì;1496343.93
47;F;0
21;F;0
32;Ì;0
21;Ì;0
17;F;0
33;F;0
37;Ì;0
49;Ì;808966.53
58;Ì;306538.29
35;F;0
42;F;0
38;Ì;0
30;F;0
33;Ì;1010122.35
29;F;359144.94
54;Ì;392090.47
58;Ì;197325.55
29;F;0
33;F;0
30;Ì;0
56;F;0
54;F;0
50;F;0
50;Ì;0
32;Ì;0
35;Ì;0
21;Ì;0
31;F;23150.04
50;Ì;20810.44
59;F;0
46;F;0
43;F;0
59;Ì;0
44;F;0
68;;0
42;Ì;0
19;F;0
42;F;0
57;Ì;756759.09
21;;0
26;;0
31;Ì;0
52;F;0
34;F;0
52;Ì;0
57;Ì;0
46;Ì;171245.79
63;Ì;0
28;Ì;0
41;Ì;0
37;Ì;0
41;Ì;85522.17
74;F;0
38;Ì;0
44;F;800.88
26;Ì;0
49;Ì;0
31;F;0
28;F;0
38;Ì;0
49;F;0
40;F;0
43;F;0
35;F;0
27;Ì;0
31;F;0
54;F;137076.69
31;Ì;277790.92
36;F;0
45;Ì;440471.44
43;Ì;0
47;Ì;0
48;Ì;0
38;;0
56;F;0
30;Ì;0
36;F;298685.4
33;F;0
60;F;0
25;Ì;0
85;F;0
56;Ì;0
63;F;0
20;Ì;0
62;Ì;0
25;F;0
19;F;0
66;Ì;0
42;Ì;100975.54
41;Ì;0
28;F;745353.25
40;F;1347821.33
61;F;0
35;Ì;236164.02
52;Ì;0
27;Ì;416881.37
43;F;0
47;Ì;0
36;Ì;0
50;Ì;669956.52
39;Ì;0
33;F;0
43;F;310154.13
45;F;0
36;Ì;0
54;Ì;0
44;Ì;0
57;Ì;39333.41
32;Ì;0
53;F;0
43;Ì;0
59;Ì;0
64;F;0
21;F;0
35;F;0
29;F;0
46;F;70262.34
62;F;0
20;F;0
65;F;0
40;F;0
29;F;0
43;F;0
34;F;0
32;F;0
39;F;0
49;F;0
51;F;0
33;F;0
50;F;28527.05
57;F;0
46;F;271070.77
38;F;517608.06
38;F;0
37;F;0
46;F;0
50;Ì;71389.33
26;Ì;0
20;Ì;0
46;Ì;0
41;Ì;0
47;Ì;0
57;Ì;0
56;F;0
44;F;0
56;F;0
43;F;0
33;F;0
36;F;7386.95
49;Ì;0
21;Ì;0
42;Ì;0
27;Ì;151976.96
34;Ì;0
27;Ì;0
51;F;0
48;F;14726.37
20;F;0
58;F;0
44;F;0
36;F;0
39;F;0
32;F;0
59;Ì;0
22;Ì;0
61;Ì;23719.23
49;Ì;0
38;Ì;0
55;Ì;0
34;Ì;0
33;Ì;750441.83
34;Ì;117423
28;Ì;0
57;Ì;0
33;Ì;26305.58
58;Ì;326.99
49;Ì;0
52;Ì;0
49;Ì;0
27;Ì;0
88;Ì;0
54;Ì;0
47;Ì;0
59;Ì;0
53;Ì;0
43;Ì;459211.32
20;F;0
37;Ì;0
22;F;0
22;Ì;0
31;F;0
40;F;0
40;Ì;0
57;Ì;0
49;Ì;0
63;Ì;205756.26
45;F;0
33;Ì;0
41;F;42442.72
41;F;0
38;F;0
48;Ì;744394.37
78;Ì;0
33;Ì;0
43;Ì;348274.47
37;F;114505.9
65;Ì;0
30;F;220936.43
43;F;0
22;Ì;0
51;Ì;0
28;F;0
52;Ì;25075.1
57;Ì;0
49;Ì;0
39;Ì;2317696.71
38;Ì;0
55;F;0
54;Ì;0
58;F;550908.45
45;Ì;0
51;F;0
48;F;0
38;F;0
45;F;0
40;Ì;0
53;F;0
70;F;0
61;Ì;0
16;Ì;0
34;Ì;9888.08
35;Ì;15.87
18;F;0
51;F;0
21;F;0
37;F;29109.43
46;Ì;0
51;F;0
53;Ì;581165.63
61;Ì;0
33;Ì;229206.7
31;Ì;11818.57
34;Ì;17950.56
42;Ì;0
36;Ì;0
49;Ì;8743.11
51;F;158144.88
54;F;0
56;F;0
40;Ì;0
53;Ì;173774.93
21;Ì;0
24;Ì;0
27;Ì;69863.7
48;F;39703.27
41;Ì;22725.65
33;Ì;0
29;F;0
38;Ì;0
32;Ì;113578.92
64;Ì;0
56;F;0
49;Ì;841698.7
40;Ì;0
51;Ì;0
69;F;0
48;F;38656.43
48;F;0
56;F;0
33;F;0
71;F;0
41;Ì;0
38;F;0
44;F;0
24;Ì;0
42;F;0
26;F;0
63;Ì;0
33;Ì;0
34;Ì;0
31;Ì;0
58;Ì;0
25;F;0
33;F;0
27;F;0
74;F;0
26;F;0
59;F;0
51;Ì;1253976.1
53;F;0
47;F;0
62;F;0
40;F;0
42;Ì;0
53;Ì;0
33;Ì;0
39;Ì;0
70;F;0
38;Ì;0
45;Ì;17275.59
71;F;0
24;F;0
25;F;0
51;F;0
37;F;0
46;F;0
46;F;422188.17
51;F;11777.25
33;F;0
39;F;0
37;Ì;853964.6
35;Ì;86165.55
40;Ì;0
57;F;23105.24
40;F;69993.19
47;F;0
37;F;103772.05
45;F;0
39;Ì;0
50;Ì;0
77;F;0
31;F;0
60;F;599543.14
38;F;0
56;F;286028.87
56;F;0
29;F;0
33;F;0
56;Ì;115509.1
70;Ì;0
28;Ì;256519.08
24;Ì;0
28;Ì;0
67;Ì;0
28;Ì;1036189.68
25;Ì;0
25;Ì;0
28;Ì;0
25;Ì;0
46;Ì;0
44;Ì;0
40;F;0
25;F;0
78;F;0
20;F;0
48;F;49038.06
29;Ì;0
33;Ì;0
29;Ì;0
29;Ì;503260.85
45;F;1161970.55
72;Ì;0
26;F;0
45;Ì;0
62;Ì;0
35;F;508952.8
34;F;0
29;F;0
44;Ì;0
29;F;0
49;F;651259.65
41;F;0
33;Ì;0
34;Ì;0
42;Ì;0
38;;0
31;F;0
27;Ì;300431.43
61;Ì;0
38;F;0
64;F;0
39;Ì;41799
19;F;0
63;Ì;0
31;Ì;0
32;F;0
28;Ì;0
55;Ì;4125.33
46;Ì;0
55;Ì;0
44;F;0
30;F;0
41;F;164108.64
23;F;11563.97
34;F;0
46;Ì;0
48;F;0
60;F;0
46;Ì;0
36;Ì;0
59;Ì;0
43;Ì;44599.44
35;F;0
32;F;0
35;Ì;0
26;F;0
26;F;0
29;F;0
28;F;0
38;F;1770671.05
60;Ì;0
68;F;0
23;Ì;0
52;F;320942.95
40;F;138525.36
46;Ì;0
41;Ì;0
57;F;0
66;Ì;70774.1
37;Ì;776110.5
31;Ì;0
39;Ì;545875.28
47;Ì;0
39;Ì;0
48;Ì;0
41;Ì;224235.07
55;Ì;0
18;F;0
34;F;0
34;Ì;0
57;Ì;0
34;F;0
33;F;0
31;F;625404.96
22;F;0
31;F;0
22;F;0
44;F;0
27;F;0
45;F;0
45;F;0
60;F;0
36;F;109510.9
40;F;0
39;F;0
49;F;0
51;F;0
36;F;732552.37
37;F;137371.12
56;F;157718.21
36;F;0
29;F;0
49;F;428332.53
43;Ì;0
33;Ì;0
35;Ì;0
42;Ì;221926.43
39;Ì;0
40;Ì;0
41;Ì;0
30;F;0
43;F;544285.82
60;F;0
46;F;0
51;Ì;65104.87
46;Ì;0
27;Ì;0
60;F;340944.45
38;Ì;0
24;Ì;0
44;F;1055625.25
33;F;9327.76
40;F;0
40;F;0
37;F;0
51;F;0
52;F;453769.76
62;F;0
50;F;0
56;F;0
23;F;0
18;F;0
31;Ì;0
43;Ì;0
58;Ì;0
82;Ì;0
41;Ì;0
36;Ì;0
31;Ì;1166299.42
51;Ì;0
29;Ì;0
38;Ì;0
40;Ì;0
29;Ì;0
53;Ì;347685.57
31;Ì;0
33;Ì;0
61;F;0
61;Ì;156952.96
35;Ì;0
34;Ì;85828.1
58;Ì;0
55;F;0
67;F;0
28;Ì;0
43;F;0
23;Ì;64825.98
31;Ì;0
36;Ì;0
38;F;0
57;Ì;0
45;F;0
21;Ì;0
28;F;0
68;F;0
44;F;356032.85
46;F;0
37;F;0
43;F;18705.52
34;F;1056822.96
58;F;0
35;F;0
27;F;0
25;F;0
32;Ì;0
41;Ì;0
37;F;0
51;Ì;893611.96
50;F;0
24;F;0
50;F;89908.99
31;F;0
58;Ì;0
74;F;0
35;Ì;0
44;Ì;0
49;F;0
45;Ì;34436.74
16;F;0
36;F;0
38;F;0
64;F;0
38;F;0
37;Ì;0
44;F;73843.37
42;F;0
25;F;0
35;Ì;0
57;Ì;0
52;Ì;0
28;Ì;0
36;F;0
31;Ì;0
56;Ì;0
32;Ì;0
45;F;23912.81
42;F;0
32;Ì;0
20;F;0
30;F;0
55;Ì;0
29;F;0
17;Ì;0
66;F;0
27;Ì;605430.47
33;Ì;0
32;F;0
33;F;0
40;Ì;0
36;F;0
48;F;39644.9
57;Ì;0
27;Ì;0
38;Ì;0
49;F;0
43;Ì;323764.83
43;Ì;466852.47
34;Ì;625173.57
44;F;0
50;Ì;254.67
32;F;409784.3
38;Ì;0
49;F;0
29;F;0
52;F;257986.43
33;Ì;0
32;Ì;119960.94
58;Ì;164631.24
34;F;0
56;Ì;65654.06
65;Ì;79184.43
40;Ì;0
65;F;0
48;Ì;0
58;Ì;1042408.74
35;Ì;0
52;F;0
58;Ì;325905.38
40;;0
27;Ì;0
34;F;0
36;F;0
68;F;0
47;Ì;960231.77
45;;0
30;F;0
36;Ì;0
52;F;706216.05
33;F;0
26;F;0
43;Ì;0
26;Ì;0
52;F;0
30;Ì;0
36;Ì;0
55;F;0
61;Ì;0
26;Ì;0
51;Ì;0
41;Ì;667633.33
53;Ì;0
28;Ì;0
35;Ì;0
55;F;0
58;Ì;0
42;F;337361.39
53;F;0
35;F;0
26;F;0
79;Ì;0
43;Ì;0
31;F;315019.58
29;F;0
49;F;0
19;F;0
37;F;583798.79
51;F;1712862.65
38;F;0
32;F;0
41;Ì;0
52;Ì;0
35;Ì;0
36;F;0
28;;0
50;F;0
40;;0
41;Ì;0
37;Ì;157927.83
22;F;0
27;F;0
33;F;0
32;Ì;0
42;F;0
22;F;0
